Profiles,R Correlation
0-349,0.9946190160737565
350-699,0.9938563179057958
700-1049,0.9932936247675734
1050-1399,0.9935655312988165
1400-1749,0.994832575755539
1750-2099,0.994407700192797
2100-2449,0.9953814554871412
2450-2799,0.9958923865326298
2800-3149,0.99560655438408
3150-3499,0.9938498843235787
3500-3849,0.99364797152529
3850-4199,0.9953671672316649
4200-4549,0.9945464610503938
4550-4899,0.9946940557457592
4900-5249,0.993478891977093
5250-5599,0.9948202922017316
5600-5949,0.9953385040169574
5950-6299,0.9960180411651823
6300-6649,0.9954084414289003
6650-6999,0.9897769456718457
7000-7349,0.9841745556393757
7350-7391,0.9740309842034635
