"Date Time, GMT-07:00",y
2023-06-15 15:00:10,2177
2023-06-15 16:00:10,2174
2023-06-15 17:00:10,2175
2023-06-15 18:00:10,2163
2023-06-15 19:00:11,2158
2023-06-15 20:00:11,2152
2023-06-15 21:00:11,2149
2023-06-15 22:00:11,2140
2023-06-15 23:00:11,2141
2023-06-16 00:00:11,-1
2023-06-16 05:00:11,-1
2023-06-16 07:00:11,-1
2023-06-16 08:00:11,2061
2023-06-16 09:00:11,2049
2023-06-16 10:00:11,2039
2023-06-16 11:00:10,2029
2023-06-16 12:00:10,2017
2023-06-16 13:00:10,1999
2023-06-16 14:00:10,1988
2023-06-16 15:00:10,1958
2023-06-16 16:00:10,1956
2023-06-16 17:00:11,1934
2023-06-16 18:00:11,1921
2023-06-16 19:00:11,1900
2023-06-16 20:00:11,1876
2023-06-16 21:00:11,1855
2023-06-16 22:00:10,1829
2023-06-16 23:00:10,1801
2023-06-17 00:00:10,1777
2023-06-17 04:00:11,1663
2023-06-17 05:00:11,1625
2023-06-17 06:00:11,1576
2023-06-17 07:00:11,1537
