"Date Time, GMT-07:00",y
2023-06-15 15:00:10,2164
2023-06-15 16:00:10,2161
2023-06-15 17:00:10,2171
2023-06-15 18:00:10,2167
2023-06-15 19:00:11,2145
2023-06-15 20:00:11,2135
2023-06-15 21:00:11,2131
2023-06-15 22:00:11,2125
2023-06-15 23:00:11,2118
2023-06-16 00:00:11,2109
2023-06-16 05:00:11,2068
2023-06-16 07:00:11,2048
2023-06-16 08:00:11,2040
2023-06-16 09:00:11,2021
2023-06-16 10:00:11,2013
2023-06-16 11:00:10,1999
2023-06-16 12:00:10,1991
2023-06-16 13:00:10,-1
2023-06-16 14:00:10,-1
2023-06-16 15:00:10,1943
2023-06-16 16:00:10,1934
2023-06-16 17:00:11,-1
2023-06-16 18:00:11,-1
2023-06-16 19:00:11,-1
2023-06-16 20:00:11,-1
2023-06-16 21:00:11,-1
2023-06-16 22:00:10,1804
2023-06-16 23:00:10,-1
2023-06-17 00:00:10,-1
2023-06-17 04:00:11,-1
2023-06-17 05:00:11,-1
2023-06-17 06:00:11,-1
2023-06-17 07:00:11,-1
