"Date Time, GMT-07:00",y
2023-06-15 15:00:10,-1
2023-06-15 16:00:10,2201
2023-06-15 17:00:10,2194
2023-06-15 18:00:10,-1
2023-06-15 19:00:11,-1
2023-06-15 20:00:11,-1
2023-06-15 21:00:11,-1
2023-06-15 22:00:11,-1
2023-06-15 23:00:11,-1
2023-06-16 00:00:11,-1
2023-06-16 05:00:11,-1
2023-06-16 07:00:11,2094
2023-06-16 08:00:11,2084
2023-06-16 09:00:11,2070
2023-06-16 10:00:11,2068
2023-06-16 11:00:10,2050
2023-06-16 12:00:10,2036
2023-06-16 13:00:10,2028
2023-06-16 14:00:10,2015
2023-06-16 15:00:10,2001
2023-06-16 16:00:10,1984
2023-06-16 17:00:11,1969
2023-06-16 18:00:11,1945
2023-06-16 19:00:11,1932
2023-06-16 20:00:11,1907
2023-06-16 21:00:11,1889
2023-06-16 22:00:10,1866
2023-06-16 23:00:10,1835
2023-06-17 00:00:10,1807
2023-06-17 04:00:11,1696
2023-06-17 05:00:11,1659
2023-06-17 06:00:11,1624
2023-06-17 07:00:11,-1
