"Date Time, GMT-07:00",y
2023-06-15 15:00:10,2175
2023-06-15 16:00:10,2172
2023-06-15 17:00:10,-1
2023-06-15 18:00:10,2161
2023-06-15 19:00:11,2155
2023-06-15 20:00:11,2152
2023-06-15 21:00:11,2143
2023-06-15 22:00:11,2139
2023-06-15 23:00:11,2138
2023-06-16 00:00:11,-1
2023-06-16 05:00:11,-1
2023-06-16 07:00:11,-1
2023-06-16 08:00:11,-1
2023-06-16 09:00:11,2046
2023-06-16 10:00:11,2036
2023-06-16 11:00:10,2023
2023-06-16 12:00:10,2015
2023-06-16 13:00:10,1994
2023-06-16 14:00:10,1983
2023-06-16 15:00:10,1957
2023-06-16 16:00:10,1954
2023-06-16 17:00:11,1932
2023-06-16 18:00:11,1918
2023-06-16 19:00:11,1896
2023-06-16 20:00:11,1876
2023-06-16 21:00:11,1850
2023-06-16 22:00:10,1828
2023-06-16 23:00:10,1794
2023-06-17 00:00:10,1770
2023-06-17 04:00:11,1662
2023-06-17 05:00:11,1618
2023-06-17 06:00:11,1578
2023-06-17 07:00:11,-1
