"Date Time, GMT-07:00",y
2023-06-15 15:00:10,2179
2023-06-15 16:00:10,2182
2023-06-15 17:00:10,2177
2023-06-15 18:00:10,2165
2023-06-15 19:00:11,-1
2023-06-15 20:00:11,2152
2023-06-15 21:00:11,2156
2023-06-15 22:00:11,2142
2023-06-15 23:00:11,2138
2023-06-16 00:00:11,2126
2023-06-16 05:00:11,-1
2023-06-16 07:00:11,2082
2023-06-16 08:00:11,2066
2023-06-16 09:00:11,2061
2023-06-16 10:00:11,2048
2023-06-16 11:00:10,2039
2023-06-16 12:00:10,2024
2023-06-16 13:00:10,2008
2023-06-16 14:00:10,2001
2023-06-16 15:00:10,1963
2023-06-16 16:00:10,1971
2023-06-16 17:00:11,1950
2023-06-16 18:00:11,1928
2023-06-16 19:00:11,1911
2023-06-16 20:00:11,1885
2023-06-16 21:00:11,1865
2023-06-16 22:00:10,1840
2023-06-16 23:00:10,1813
2023-06-17 00:00:10,1787
2023-06-17 04:00:11,1664
2023-06-17 05:00:11,1637
2023-06-17 06:00:11,1593
2023-06-17 07:00:11,1549
