x,y
0,2169
1,2169
2,2169
3,2169
4,2169
5,2169
6,2169
7,2169
8,2169
9,2169
10,2169
11,2169
12,2169
13,2169
14,2169
15,2169
16,2169
17,2169
18,2169
19,2169
20,2169
21,2169
22,2170
23,2170
24,2170
25,2170
26,2170
27,2170
28,2170
29,2170
30,2170
31,2170
32,2170
33,2170
34,2170
35,2170
36,2170
37,2170
38,2170
39,2170
40,2170
41,2170
42,2170
43,2170
44,2170
45,2170
46,2170
47,2170
48,2170
49,2170
50,2170
51,2170
52,2170
53,2170
54,2170
55,2170
56,2170
57,2170
58,2170
59,2170
60,2170
61,2170
62,2170
63,2170
64,2170
65,2170
66,2171
67,2171
68,2171
69,2171
70,2171
71,2171
72,2171
73,2171
74,2171
75,2171
76,2171
77,2171
78,2171
79,2171
80,2171
81,2171
82,2171
83,2171
84,2171
85,2171
86,2171
87,2171
88,2171
89,2171
90,2171
91,2171
92,2171
93,2171
94,2171
95,2171
96,2171
97,2171
98,2171
99,2171
100,2171
101,2171
102,2171
103,2171
104,2171
105,2171
106,2171
107,2171
108,2171
109,2171
110,2172
111,2172
112,2172
113,2172
114,2172
115,2172
116,2172
117,2172
118,2172
119,2172
120,2172
121,2172
122,2172
123,2172
124,2172
125,2172
126,2172
127,2172
128,2172
129,2172
130,2172
131,2172
132,2172
133,2172
134,2172
135,2172
136,2172
137,2172
138,2172
139,2172
140,2172
141,2172
142,2172
143,2172
144,2172
145,2172
146,2172
147,2172
148,2172
149,2172
150,2172
151,2172
152,2172
153,2172
154,2173
155,2173
156,2173
157,2173
158,2173
159,2173
160,2173
161,2173
162,2173
163,2173
164,2173
165,2173
166,2173
167,2173
168,2173
169,2173
170,2173
171,2173
172,2173
173,2173
174,2173
175,2173
176,2173
177,2173
178,2173
179,2173
180,2173
181,2173
182,2173
183,2173
184,2173
185,2173
186,2173
187,2173
188,2173
189,2173
190,2173
191,2173
192,2173
193,2173
194,2173
195,2173
196,2173
197,2174
198,2174
199,2174
200,2174
201,2174
202,2174
203,2174
204,2174
205,2174
206,2174
207,2174
208,2174
209,2174
210,2174
211,2174
212,2174
213,2174
214,2174
215,2174
216,2174
217,2174
218,2174
219,2174
220,2174
221,2174
222,2174
223,2174
224,2174
225,2174
226,2174
227,2174
228,2174
229,2174
230,2174
231,2174
232,2174
233,2174
234,2174
235,2174
236,2174
237,2174
238,2174
239,2174
240,2174
241,2175
242,2175
243,2175
244,2175
245,2175
246,2175
247,2175
248,2175
249,2175
250,2175
251,2175
252,2175
253,2175
254,2175
255,2175
256,2175
257,2175
258,2175
259,2175
260,2175
261,2175
262,2175
263,2175
264,2175
265,2175
266,2175
267,2175
268,2175
269,2175
270,2175
271,2175
272,2175
273,2175
274,2175
275,2175
276,2175
277,2175
278,2175
279,2175
280,2175
281,2175
282,2175
283,2175
284,2175
285,2176
286,2176
287,2176
288,2176
289,2176
290,2176
291,2176
292,2176
293,2176
294,2176
295,2176
296,2176
297,2176
298,2176
299,2176
300,2176
301,2176
302,2176
303,2176
304,2176
305,2176
306,2176
307,2176
308,2176
309,2176
310,2176
311,2176
312,2176
313,2176
314,2176
315,2176
316,2176
317,2176
318,2176
319,2176
320,2176
321,2176
322,2176
323,2176
324,2176
325,2176
326,2176
327,2176
328,2176
329,2177
330,2177
331,2177
332,2177
333,2177
334,2177
335,2177
336,2177
337,2177
338,2177
339,2177
340,2177
341,2177
342,2177
343,2177
344,2177
345,2177
346,2177
347,2177
348,2177
349,2177
350,2177
351,2177
352,2177
353,2177
354,2177
355,2177
356,2177
357,2177
358,2177
359,2177
360,2177
361,2177
362,2177
363,2177
364,2177
365,2177
366,2177
367,2177
368,2177
369,2177
370,2178
371,2178
372,2178
373,2178
374,2178
375,2178
376,2178
377,2178
378,2178
379,2178
380,2178
381,2178
382,2178
383,2178
384,2178
385,2178
386,2178
387,2178
388,2178
389,2178
390,2178
391,2178
392,2178
393,2178
394,2178
395,2178
396,2178
397,2178
398,2178
399,2178
400,2178
401,2178
402,2178
403,2178
404,2178
405,2178
406,2178
407,2178
408,2178
409,2178
410,2179
411,2179
412,2179
413,2179
414,2179
415,2179
416,2179
417,2179
418,2179
419,2179
420,2179
421,2179
422,2179
423,2179
424,2179
425,2179
426,2179
427,2179
428,2179
429,2179
430,2179
431,2179
432,2179
433,2179
434,2179
435,2179
436,2179
437,2179
438,2179
439,2179
440,2179
441,2179
442,2179
443,2179
444,2179
445,2179
446,2179
447,2179
448,2179
449,2179
450,2180
451,2180
452,2180
453,2180
454,2180
455,2180
456,2180
457,2180
458,2180
459,2180
460,2180
461,2180
462,2180
463,2180
464,2180
465,2180
466,2180
467,2180
468,2180
469,2180
470,2180
471,2180
472,2180
473,2180
474,2180
475,2180
476,2180
477,2180
478,2180
479,2180
480,2180
481,2180
482,2180
483,2180
484,2180
485,2180
486,2180
487,2180
488,2180
489,2180
490,2181
491,2181
492,2181
493,2181
494,2181
495,2181
496,2181
497,2181
498,2181
499,2181
500,2181
501,2181
502,2181
503,2181
504,2181
505,2181
506,2181
507,2181
508,2181
509,2181
510,2181
511,2181
512,2181
513,2181
514,2181
515,2181
516,2181
517,2181
518,2181
519,2181
520,2181
521,2181
522,2181
523,2181
524,2181
525,2181
526,2181
527,2181
528,2181
529,2181
530,2182
531,2182
532,2182
533,2182
534,2182
535,2182
536,2182
537,2182
538,2182
539,2182
540,2182
541,2182
542,2182
543,2182
544,2182
545,2182
546,2182
547,2182
548,2182
549,2182
550,2182
551,2182
552,2182
553,2182
554,2182
555,2182
556,2182
557,2182
558,2182
559,2182
560,2182
561,2182
562,2182
563,2182
564,2182
565,2182
566,2182
567,2182
568,2182
569,2182
570,2183
571,2183
572,2183
573,2183
574,2183
575,2183
576,2183
577,2183
578,2183
579,2183
580,2183
581,2183
582,2183
583,2183
584,2183
585,2183
586,2183
587,2183
588,2183
589,2183
590,2183
591,2183
592,2183
593,2183
594,2183
595,2183
596,2183
597,2183
598,2183
599,2183
600,2183
601,2183
602,2183
603,2183
604,2183
605,2183
606,2183
607,2183
608,2183
609,2183
610,2184
611,2184
612,2184
613,2184
614,2184
615,2184
616,2184
617,2184
618,2184
619,2184
620,2184
621,2184
622,2184
623,2184
624,2184
625,2184
626,2184
627,2184
628,2184
629,2184
630,2184
631,2184
632,2184
633,2184
634,2184
635,2184
636,2184
637,2184
638,2184
639,2184
640,2184
641,2185
642,2185
643,2185
644,2185
645,2185
646,2185
647,2185
648,2185
649,2185
650,2185
651,2185
652,2185
653,2185
654,2185
655,2185
656,2185
657,2185
658,2185
659,2185
660,2185
661,2185
662,2185
663,2185
664,2186
665,2186
666,2186
667,2186
668,2186
669,2186
670,2186
671,2186
672,2186
673,2186
674,2186
675,2186
676,2186
677,2186
678,2186
679,2186
680,2186
681,2186
682,2186
683,2186
684,2186
685,2186
686,2187
687,2187
688,2187
689,2187
690,2187
691,2187
692,2187
693,2187
694,2187
695,2187
696,2187
697,2187
698,2187
699,2187
700,2187
701,2187
702,2187
703,2187
704,2187
705,2187
706,2187
707,2187
708,2187
709,2188
710,2188
711,2188
712,2188
713,2188
714,2188
715,2188
716,2188
717,2188
718,2188
719,2188
720,2188
721,2188
722,2188
723,2188
724,2188
725,2188
726,2188
727,2188
728,2188
729,2188
730,2188
731,2188
732,2189
733,2189
734,2189
735,2189
736,2189
737,2189
738,2189
739,2189
740,2189
741,2189
742,2189
743,2189
744,2189
745,2189
746,2189
747,2189
748,2189
749,2189
750,2189
751,2189
752,2189
753,2189
754,2190
755,2190
756,2190
757,2190
758,2190
759,2190
760,2190
761,2190
762,2190
763,2190
764,2190
765,2190
766,2190
767,2190
768,2190
769,2190
770,2190
771,2190
772,2190
773,2190
774,2190
775,2190
776,2190
777,2191
778,2191
779,2191
780,2191
781,2191
782,2191
783,2191
784,2191
785,2191
786,2191
787,2191
788,2191
789,2191
790,2191
791,2191
792,2191
793,2191
794,2191
795,2191
796,2191
797,2191
798,2191
799,2191
800,2192
801,2192
802,2192
803,2192
804,2192
805,2192
806,2192
807,2192
808,2192
809,2192
810,2192
811,2192
812,2192
813,2192
814,2192
815,2192
816,2192
817,2192
818,2192
819,2192
820,2192
821,2192
822,2192
823,2193
824,2193
825,2193
826,2193
827,2193
828,2193
829,2193
830,2193
831,2193
832,2193
833,2193
834,2193
835,2193
836,2193
837,2193
838,2193
839,2193
840,2193
841,2193
842,2193
843,2193
844,2193
845,2194
846,2194
847,2194
848,2194
849,2194
850,2194
851,2194
852,2194
853,2194
854,2194
855,2194
856,2194
857,2194
858,2194
859,2194
860,2194
861,2194
862,2194
863,2194
864,2194
865,2194
866,2194
867,2194
868,2195
869,2195
870,2195
871,2195
872,2195
873,2195
874,2195
875,2195
876,2195
877,2195
878,2195
879,2195
880,2195
881,2195
882,2195
883,2195
884,2195
885,2195
