x,y
0,-1
1,-1
2,2150
3,2150
4,2150
5,2150
6,2150
7,2150
8,2150
9,2150
10,2150
11,2150
12,2150
13,2150
14,2150
15,2150
16,2150
17,2150
18,2151
19,2151
20,2151
21,2151
22,2151
23,2151
24,2151
25,2151
26,2151
27,2151
28,2151
29,2151
30,2151
31,2151
32,2151
33,2151
34,2151
35,2151
36,2151
37,2151
38,2151
39,2151
40,2151
41,2151
42,2151
43,2151
44,2151
45,2151
46,2151
47,2151
48,2151
49,2152
50,2152
51,2152
52,2152
53,2152
54,2152
55,2152
56,2152
57,2152
58,2152
59,2152
60,2152
61,2152
62,2152
63,2152
64,2152
65,2152
66,2152
67,2152
68,2152
69,2152
70,2152
71,2152
72,2152
73,2152
74,2152
75,2152
76,2152
77,2152
78,2152
79,2153
80,2153
81,2153
82,2153
83,2153
84,2153
85,2153
86,2153
87,2153
88,2153
89,2153
90,2153
91,2153
92,2153
93,2153
94,2153
95,2153
96,2153
97,2153
98,2153
99,2153
100,2153
101,2153
102,2153
103,2153
104,2153
105,2153
106,2153
107,2153
108,2153
109,2153
110,2154
111,2154
112,2154
113,2154
114,2154
115,2154
116,2154
117,2154
118,2154
119,2154
120,2154
121,2154
122,2154
123,2154
124,2154
125,2154
126,2154
127,2154
128,2154
129,2154
130,2154
131,2154
132,2154
133,2154
134,2154
135,2154
136,2154
137,2154
138,2154
139,2154
140,2154
141,2155
142,2155
143,2155
144,2155
145,2155
146,2155
147,2155
148,2155
149,2155
150,2155
151,2155
152,2155
153,2155
154,2155
155,2155
156,2155
157,2155
158,2155
159,2155
160,2155
161,2155
162,2155
163,2155
164,2155
165,2155
166,2155
167,2155
168,2155
169,2155
170,2155
171,2156
172,2156
173,2156
174,2156
175,2156
176,2156
177,2156
178,2156
179,2156
180,2156
181,2156
182,2156
183,2156
184,2156
185,2156
186,2156
187,2156
188,2156
189,2156
190,2156
191,2156
192,2156
193,2156
194,2156
195,2156
196,2156
197,2156
198,2156
199,2156
200,2156
201,2156
202,2157
203,2157
204,2157
205,2157
206,2157
207,2157
208,2157
209,2157
210,2157
211,2157
212,2157
213,2157
214,2157
215,2157
216,2157
217,2157
218,2157
219,2157
220,2157
221,2157
222,2157
223,2157
224,2157
225,2157
226,2157
227,2157
228,2157
229,2157
230,2157
231,2157
232,2157
233,2158
234,2158
235,2158
236,2158
237,2158
238,2158
239,2158
240,2158
241,2158
242,2158
243,2158
244,2158
245,2158
246,2158
247,2158
248,2158
249,2158
250,2158
251,2158
252,2158
253,2158
254,2158
255,2158
256,2158
257,2158
258,2158
259,2158
260,2158
261,2158
262,2158
263,2159
264,2159
265,2159
266,2159
267,2159
268,2159
269,2159
270,2159
271,2159
272,2159
273,2159
274,2159
275,2159
276,2159
277,2159
278,2159
279,2159
280,2159
281,2159
282,2159
283,2159
284,2159
285,2159
286,2159
287,2159
288,2159
289,2159
290,2159
291,2159
292,2159
293,2159
294,2160
295,2160
296,2160
297,2160
298,2160
299,2160
300,2160
301,2160
302,2160
303,2160
304,2160
305,2160
306,2160
307,2160
308,2160
309,2160
310,2160
311,2160
312,2160
313,2160
314,2160
315,2160
316,2160
317,2160
318,2160
319,2160
320,2160
321,2160
322,2160
323,2160
324,2160
325,2161
326,2161
327,2161
328,2161
329,2161
330,2161
331,2161
332,2161
333,2161
334,2161
335,2161
336,2161
337,2161
338,2161
339,2161
340,2161
341,2161
342,2161
343,2161
344,2161
345,2161
346,2161
347,2161
348,2161
349,2161
350,2161
351,2161
352,2161
353,2161
354,2161
355,2161
356,2162
357,2162
358,2162
359,2162
360,2162
361,2162
362,2162
363,2162
364,2162
365,2162
366,2162
367,2162
368,2162
369,2162
370,2162
371,2162
372,2162
373,2162
374,2162
375,2162
376,2162
377,2162
378,2162
379,2162
380,2162
381,2162
382,2162
383,2162
384,2162
385,2162
386,2163
387,2163
388,2163
389,2163
390,2163
391,2163
392,2163
393,2163
394,2163
395,2163
396,2163
397,2163
398,2163
399,2163
400,2163
401,2163
402,2163
403,2163
404,2163
405,2163
406,2163
407,2163
408,2163
409,2163
410,2163
411,2163
412,2163
413,2163
414,2163
415,2163
416,2163
417,2164
418,2164
419,2164
420,2164
421,2164
422,2164
423,2164
424,2164
425,2164
426,2164
427,2164
428,2164
429,2164
430,2164
431,2164
432,2164
433,2164
434,2164
435,2164
436,2164
437,2164
438,2164
439,2164
440,2164
441,2164
442,2164
443,2164
444,2164
445,2164
446,2164
447,2164
448,2165
449,2165
450,2165
451,2165
452,2165
453,2165
454,2165
455,2165
456,2165
457,2165
458,2165
459,2165
460,2165
461,2165
462,2165
463,2165
464,2165
465,2165
466,2165
467,2165
468,2165
469,2165
470,2165
471,2165
472,2165
473,2165
474,2165
475,2165
476,2165
477,2165
478,2166
479,2166
480,2166
481,2166
482,2166
483,2166
484,2166
485,2166
486,2166
487,2166
488,2166
489,2166
490,2166
491,2166
492,2166
493,2166
494,2166
495,2166
496,2166
497,2166
498,2166
499,2166
500,2166
501,2166
502,2166
503,2166
504,2166
505,2166
506,2166
507,2166
508,2166
509,2167
510,2167
511,2167
512,2167
513,2167
514,2167
515,2167
516,2167
517,2167
518,2167
519,2167
520,2167
521,2167
522,2167
523,2167
524,2167
525,2167
526,2167
527,2167
528,2167
529,2167
530,2167
531,2167
532,2167
533,2167
534,2167
535,2167
536,2167
537,2167
538,2167
539,2167
540,2168
541,2168
542,2168
543,2168
544,2168
545,2168
546,2168
547,2168
548,2168
549,2168
550,2168
551,2168
552,2168
553,2168
554,2168
555,2168
556,2168
557,2168
558,2168
559,2168
560,2168
561,2168
562,2168
563,2168
564,2168
565,2168
566,2168
567,2168
568,2168
569,2168
570,2169
571,2169
572,2169
573,2169
574,2169
575,2169
576,2169
577,2169
578,2169
579,2169
580,2169
581,2169
582,2169
583,2169
584,2169
585,2169
586,2169
587,2169
588,2169
589,2169
590,2169
591,2169
592,2169
593,2169
594,2169
595,2169
596,2169
597,2169
598,2169
599,2169
600,2169
601,2170
602,2170
603,2170
604,2170
605,2170
606,2170
607,2170
608,2170
609,2170
610,2170
611,2170
612,2170
613,2170
614,2170
615,2170
616,2170
617,2170
618,2170
619,2170
620,2170
621,2170
622,2170
623,2170
624,2170
625,2170
626,2170
627,2170
628,2170
629,2171
630,2171
631,2171
632,2171
633,2171
634,2171
635,2171
636,2171
637,2171
638,2171
639,2171
640,2171
641,2171
642,2171
643,2171
644,2171
645,2171
646,2171
647,2171
648,2171
649,2171
