"Date Time, GMT-07:00",y,x_3d,y_3d,z
2023-05-31 15:00:11,2122,625652.765980647,6742822.965357437,977.4133850428694
2023-05-31 16:00:11,2125,625652.9019723416,6742822.589031166,977.564187174279
2023-05-31 17:00:11,2123,625652.8113112119,6742822.839915346,977.4636524200059
2023-05-31 18:00:11,2125,625652.9019723416,6742822.589031166,977.564187174279
2023-05-31 19:00:10,2127,625652.9926334715,6742822.3381469855,977.6647219285521
2023-05-31 20:00:10,2126,625652.9473029065,6742822.463589076,977.6144545514155
2023-05-31 22:00:10,2124,625652.8566417766,6742822.714473257,977.5139197971425
2023-05-31 23:00:10,2125,625652.9019723416,6742822.589031166,977.564187174279
2023-06-01 05:00:11,2123,625652.8113112119,6742822.839915346,977.4636524200059
2023-06-01 06:00:11,2130,625653.128625166,6742821.961820715,977.8155240599617
2023-06-01 07:00:10,2134,625653.3099474255,6742821.460052353,978.0165935685077
2023-06-01 08:00:10,2121,625652.7206500821,6742823.090799527,977.363117665733
2023-06-01 09:00:10,2130,625653.128625166,6742821.961820715,977.8155240599617
2023-06-01 10:00:10,2137,625653.4459391201,6742821.083726084,978.1673956999173
2023-06-01 11:00:11,2133,625653.2646168607,6742821.585494444,977.9663261913712
2023-06-01 12:00:11,2134,625653.3099474255,6742821.460052353,978.0165935685077
2023-06-01 13:00:11,2132,625653.2192862958,6742821.710936535,977.9160588142346
2023-06-01 14:00:11,2135,625653.3552779905,6742821.334610264,978.0668609456442
2023-06-01 15:00:11,2136,625653.4006085553,6742821.209168173,978.1171283227807
2023-06-01 16:00:10,2137,625653.4459391201,6742821.083726084,978.1673956999173
2023-06-01 17:00:10,2141,625653.6272613797,6742820.581957723,978.3684652084634
2023-06-01 18:00:10,2145,625653.8085836391,6742820.080189362,978.5695347170093
2023-06-01 19:00:10,2143,625653.7179225094,6742820.331073542,978.4689999627363
2023-06-01 20:00:10,2141,625653.6272613797,6742820.581957723,978.3684652084634
2023-06-01 21:00:10,2138,625653.4912696851,6742820.958283994,978.2176630770539
2023-06-01 22:00:11,2144,625653.7632530744,6742820.205631453,978.5192673398728
2023-06-01 23:00:11,2141,625653.6272613797,6742820.581957723,978.3684652084634
2023-06-02 00:00:11,2136,625653.4006085553,6742821.209168173,978.1171283227807
2023-06-02 05:00:10,2140,625653.5819308148,6742820.707399813,978.3181978313269
2023-06-02 06:00:10,2144,625653.7632530744,6742820.205631453,978.5192673398728
2023-06-02 07:00:10,2150,625654.0352364636,6742819.452978911,978.8208716026919
2023-06-02 08:00:10,2147,625653.899244769,6742819.829305181,978.6700694712824
2023-06-02 09:00:11,2149,625653.9899058987,6742819.578421001,978.7706042255554
2023-06-02 10:00:11,2153,625654.1712281583,6742819.0766526405,978.9716737341015
2023-06-02 11:00:11,2145,625653.8085836391,6742820.080189362,978.5695347170093
2023-06-02 12:00:11,2144,625653.7632530744,6742820.205631453,978.5192673398728
2023-06-02 13:00:11,-1,-1,-1,-1
2023-06-02 14:00:11,2150,625654.0352364636,6742819.452978911,978.8208716026919
2023-06-02 15:00:11,2157,625654.3525504179,6742818.57488428,979.1727432426476
2023-06-02 16:00:10,2154,625654.2165587232,6742818.95121055,979.021941111238
2023-06-02 17:00:10,2163,625654.6245338072,6742817.822231738,979.4743475054667
2023-06-02 18:00:10,2161,625654.5338726775,6742818.073115919,979.3738127511938
2023-06-02 19:00:10,2161,625654.5338726775,6742818.073115919,979.3738127511938
2023-06-02 20:00:10,2164,625654.6698643719,6742817.696789647,979.5246148826031
2023-06-02 21:00:11,2160,625654.4885421125,6742818.198558008,979.3235453740572
2023-06-02 22:00:11,2160,625654.4885421125,6742818.198558008,979.3235453740572
2023-06-02 23:00:11,2160,625654.4885421125,6742818.198558008,979.3235453740572
2023-06-03 00:00:11,2156,625654.3072198529,6742818.70032637,979.122475865511
2023-06-03 04:00:10,2163,625654.6245338072,6742817.822231738,979.4743475054667
2023-06-03 05:00:10,2166,625654.7605255018,6742817.4459054675,979.6251496368762
2023-06-03 06:00:10,2168,625654.8511866315,6742817.195021287,979.7256843911493
2023-06-03 07:00:10,2169,625654.8965171964,6742817.069579197,979.7759517682858
2023-06-03 08:00:11,2163,625654.6245338072,6742817.822231738,979.4743475054667
2023-06-03 09:00:11,2168,625654.8511866315,6742817.195021287,979.7256843911493
2023-06-03 10:00:11,2168,625654.8511866315,6742817.195021287,979.7256843911493
2023-06-03 11:00:11,2171,625654.9871783262,6742816.818695016,979.8764865225588
2023-06-03 12:00:11,2175,625655.1685005857,6742816.316926656,980.0775560311048
2023-06-03 13:00:10,2173,625655.0778394559,6742816.567810836,979.9770212768319
2023-06-03 14:00:11,2177,625655.2591617154,6742816.066042475,980.1780907853779
2023-06-03 15:00:10,2175,625655.1685005857,6742816.316926656,980.0775560311048
2023-06-03 16:00:10,2180,625655.3951534102,6742815.689716205,980.3288929167875
2023-06-03 17:00:10,2180,625655.3951534102,6742815.689716205,980.3288929167875
2023-06-03 18:00:10,2183,625655.5311451048,6742815.313389935,980.4796950481971
2023-06-03 19:00:11,2183,625655.5311451048,6742815.313389935,980.4796950481971
2023-06-03 20:00:11,2185,625655.6218062345,6742815.062505754,980.5802298024701
2023-06-03 21:00:11,2180,625655.3951534102,6742815.689716205,980.3288929167875
2023-06-03 22:00:11,2188,625655.7577979292,6742814.686179483,980.7310319338795
2023-06-03 23:00:11,2187,625655.7124673643,6742814.811621573,980.680764556743
2023-06-04 00:00:11,2178,625655.3044922804,6742815.940600386,980.2283581625145
2023-06-04 04:00:10,2186,625655.6671367995,6742814.937063664,980.6304971796067
2023-06-04 05:00:10,2184,625655.5764756696,6742815.187947844,980.5299624253336
2023-06-04 06:00:10,2181,625655.440483975,6742815.564274114,980.379160293924
2023-06-04 07:00:11,2194,625656.0297813185,6742813.9335269425,981.0326361966986
2023-06-04 08:00:11,2186,625655.6671367995,6742814.937063664,980.6304971796067
2023-06-04 09:00:11,2186,625655.6671367995,6742814.937063664,980.6304971796067
2023-06-04 10:00:11,2189,625655.8031284941,6742814.560737394,980.781299311016
2023-06-04 11:00:10,2190,625655.8484590589,6742814.435295302,980.8315666881525
2023-06-04 12:00:11,2190,625655.8484590589,6742814.435295302,980.8315666881525
2023-06-04 13:00:10,2197,625656.1657730131,6742813.557200672,981.1834383281082
2023-06-04 14:00:10,-1,-1,-1,-1
2023-06-04 15:00:10,2194,625656.0297813185,6742813.9335269425,981.0326361966986
2023-06-04 16:00:10,2197,625656.1657730131,6742813.557200672,981.1834383281082
2023-06-04 17:00:10,2196,625656.1204424482,6742813.682642762,981.1331709509717
2023-06-04 18:00:11,2197,625656.1657730131,6742813.557200672,981.1834383281082
2023-06-04 19:00:11,2198,625656.211103578,6742813.431758581,981.2337057052448
2023-06-04 20:00:11,2198,625656.211103578,6742813.431758581,981.2337057052448
2023-06-04 21:00:11,2196,625656.1204424482,6742813.682642762,981.1331709509717
2023-06-04 22:00:11,2199,625656.2564341428,6742813.306316491,981.2839730823813
2023-06-04 23:00:11,2197,625656.1657730131,6742813.557200672,981.1834383281082
2023-06-05 00:00:11,2198,625656.211103578,6742813.431758581,981.2337057052448
2023-06-05 04:00:10,2199,625656.2564341428,6742813.306316491,981.2839730823813
2023-06-05 05:00:10,2198,625656.211103578,6742813.431758581,981.2337057052448
2023-06-05 06:00:11,2198,625656.211103578,6742813.431758581,981.2337057052448
