"Date Time, GMT-07:00",y,x_3d,y_3d,z
2023-05-31 15:00:11,2122,625639.6761080914,6742881.996962659,990.9776218406807
2023-05-31 16:00:11,2125,625639.8114323141,6742881.635798058,991.1009157620086
2023-05-31 17:00:11,2123,625639.7212161656,6742881.876574459,991.0187198144567
2023-05-31 18:00:11,2125,625639.8114323141,6742881.635798058,991.1009157620086
2023-05-31 19:00:10,2127,625639.9140636548,6742881.363395969,991.1806634725014
2023-05-31 20:00:10,2126,625639.8624522734,6742881.500350289,991.1408479305626
2023-05-31 22:00:10,2124,625639.7663242398,6742881.756186258,991.0598177882327
2023-05-31 23:00:10,2125,625639.8114323141,6742881.635798058,991.1009157620086
2023-06-01 05:00:11,2123,625639.7212161656,6742881.876574459,991.0187198144567
2023-06-01 06:00:11,2130,625640.0688977994,6742880.95253301,991.3001100983174
2023-06-01 07:00:10,2134,625640.2753433252,6742880.404715732,991.4593722660723
2023-06-01 08:00:10,2121,625639.6310000172,6742882.11735086,990.9365238669047
2023-06-01 09:00:10,2130,625640.0688977994,6742880.95253301,991.3001100983174
2023-06-01 10:00:10,2137,625640.4301774696,6742879.993852772,991.5788188918884
2023-06-01 11:00:11,2133,625640.2237319436,6742880.541670051,991.4195567241336
2023-06-01 12:00:11,2134,625640.2753433252,6742880.404715732,991.4593722660723
2023-06-01 13:00:11,2132,625640.1721205623,6742880.678624371,991.3797411821948
2023-06-01 14:00:11,2135,625640.3269547067,6742880.267761411,991.499187808011
2023-06-01 15:00:11,2136,625640.3785660882,6742880.130807092,991.5390033499498
2023-06-01 16:00:10,2137,625640.4301774696,6742879.993852772,991.5788188918884
2023-06-01 17:00:10,2141,625640.6366229956,6742879.446035493,991.7380810596433
2023-06-01 18:00:10,2145,625640.8430685215,6742878.8982182145,991.8973432273981
2023-06-01 19:00:10,2143,625640.7398457585,6742879.172126854,991.8177121435206
2023-06-01 20:00:10,2141,625640.6366229956,6742879.446035493,991.7380810596433
2023-06-01 21:00:10,2138,625640.4817888511,6742879.856898453,991.6186344338271
2023-06-01 22:00:11,2144,625640.79145714,6742879.035172533,991.8575276854594
2023-06-01 23:00:11,2141,625640.6366229956,6742879.446035493,991.7380810596433
2023-06-02 00:00:11,2136,625640.3785660882,6742880.130807092,991.5390033499498
2023-06-02 05:00:10,2140,625640.585011614,6742879.582989812,991.6982655177046
2023-06-02 06:00:10,2144,625640.79145714,6742879.035172533,991.8575276854594
2023-06-02 07:00:10,2150,625641.1011254289,6742878.213446615,992.0964209370918
2023-06-02 08:00:10,2147,625640.9462912844,6742878.624309575,991.9769743112756
2023-06-02 09:00:11,2149,625641.0495140473,6742878.350400936,992.056605395153
