"Date Time, GMT-07:00",y,x_3d,y_3d,z
2023-05-31 15:00:11,2122,625653.6098490156,6742823.093343494,977.4254561457046
2023-05-31 16:00:11,2125,625653.7454698812,6742822.716368759,977.5764750565851
2023-05-31 17:00:11,2123,625653.6550559708,6742822.96768525,977.4757957826648
2023-05-31 18:00:11,2125,625653.7454698812,6742822.716368759,977.5764750565851
2023-05-31 19:00:10,2127,625653.8358837916,6742822.465052268,977.6771543305053
2023-05-31 20:00:10,2126,625653.7906768364,6742822.590710512,977.6268146935453
2023-05-31 22:00:10,2124,625653.700262926,6742822.842027004,977.526135419625
2023-05-31 23:00:10,2125,625653.7454698812,6742822.716368759,977.5764750565851
2023-06-01 05:00:11,2123,625653.6550559708,6742822.96768525,977.4757957826648
2023-06-01 06:00:11,2130,625653.9715046573,6742822.08807753,977.8281732413859
2023-06-01 07:00:10,2134,625654.1523324782,6742821.585444549,978.0295317892262
2023-06-01 08:00:10,2121,625653.5646420603,6742823.21900174,977.3751165087444
2023-06-01 09:00:10,2130,625653.9715046573,6742822.08807753,977.8281732413859
2023-06-01 10:00:10,2137,625654.2879533438,6742821.208469812,978.1805507001068
2023-06-01 11:00:11,2133,625654.1071255229,6742821.711102794,977.9791921522661
2023-06-01 12:00:11,2134,625654.1523324782,6742821.585444549,978.0295317892262
2023-06-01 13:00:11,2132,625654.0619185677,6742821.836761039,977.9288525153061
2023-06-01 14:00:11,2135,625654.1975394334,6742821.459786302,978.0798714261866
2023-06-01 15:00:11,2136,625654.2427463885,6742821.334128058,978.1302110631467
2023-06-01 16:00:10,2137,625654.2879533438,6742821.208469812,978.1805507001068
2023-06-01 17:00:10,2141,625654.4687811647,6742820.705836829,978.3819092479473
2023-06-01 18:00:10,2145,625654.6496089855,6742820.203203848,978.5832677957878
2023-06-01 19:00:10,2143,625654.5591950751,6742820.454520337,978.4825885218675
2023-06-01 20:00:10,2141,625654.4687811647,6742820.705836829,978.3819092479473
2023-06-01 21:00:10,2138,625654.333160299,6742821.082811566,978.2308903370669
2023-06-01 22:00:11,2144,625654.6044020304,6742820.328862092,978.5329281588276
2023-06-01 23:00:11,2141,625654.4687811647,6742820.705836829,978.3819092479473
2023-06-02 00:00:11,2136,625654.2427463885,6742821.334128058,978.1302110631467
2023-06-02 05:00:10,2140,625654.4235742094,6742820.831495075,978.3315696109871
2023-06-02 06:00:10,2144,625654.6044020304,6742820.328862092,978.5329281588276
2023-06-02 07:00:10,2150,625654.8756437616,6742819.574912619,978.8349659805885
2023-06-02 08:00:10,2147,625654.740022896,6742819.951887356,978.683947069708
2023-06-02 09:00:11,2149,625654.8304368064,6742819.700570865,978.7846263436284
2023-06-02 10:00:11,2153,625655.0112646273,6742819.1979378825,978.9859848914689
2023-06-02 11:00:11,2145,625654.6496089855,6742820.203203848,978.5832677957878
2023-06-02 12:00:11,2144,625654.6044020304,6742820.328862092,978.5329281588276
2023-06-02 13:00:11,-1,-1,-1,-1
2023-06-02 14:00:11,2150,625654.8756437616,6742819.574912619,978.8349659805885
2023-06-02 15:00:11,2157,625655.1920924481,6742818.6953048995,979.1873434393094
2023-06-02 16:00:10,2154,625655.0564715825,6742819.072279638,979.036324528429
2023-06-02 17:00:10,2163,625655.4633341795,6742817.941355426,979.4893812610701
2023-06-02 18:00:10,2161,625655.372920269,6742818.192671917,979.38870198715
2023-06-02 19:00:10,2161,625655.372920269,6742818.192671917,979.38870198715
2023-06-02 20:00:10,2164,625655.5085411348,6742817.815697181,979.5397208980303
2023-06-02 21:00:11,2160,625655.3277133137,6742818.318330163,979.3383623501899
2023-06-02 22:00:11,2160,625655.3277133137,6742818.318330163,979.3383623501899
2023-06-02 23:00:11,2160,625655.3277133137,6742818.318330163,979.3383623501899
2023-06-03 00:00:11,2156,625655.146885493,6742818.820963146,979.1370038023495
2023-06-03 04:00:10,2163,625655.4633341795,6742817.941355426,979.4893812610701
2023-06-03 05:00:10,2166,625655.5989550451,6742817.5643806895,979.6404001719507
2023-06-03 06:00:10,2168,625655.6893689556,6742817.313064199,979.7410794458708
2023-06-03 07:00:10,2169,625655.7345759107,6742817.187405953,979.791419082831
2023-06-03 08:00:11,2163,625655.4633341795,6742817.941355426,979.4893812610701
2023-06-03 09:00:11,2168,625655.6893689556,6742817.313064199,979.7410794458708
2023-06-03 10:00:11,2168,625655.6893689556,6742817.313064199,979.7410794458708
2023-06-03 11:00:11,2171,625655.8249898212,6742816.936089462,979.8920983567514
2023-06-03 12:00:11,2175,625656.0058176421,6742816.4334564805,980.0934569045919
2023-06-03 13:00:10,2173,625655.9154037316,6742816.684772971,979.9927776306716
2023-06-03 14:00:11,2177,625656.0962315525,6742816.182139989,980.1941361785122
2023-06-03 15:00:10,2175,625656.0058176421,6742816.4334564805,980.0934569045919
2023-06-03 16:00:10,2180,625656.2318524182,6742815.805165253,980.3451550893925
2023-06-03 17:00:10,2180,625656.2318524182,6742815.805165253,980.3451550893925
2023-06-03 18:00:10,2183,625656.3674732838,6742815.428190515,980.496174000273
2023-06-03 19:00:11,2183,625656.3674732838,6742815.428190515,980.496174000273
2023-06-03 20:00:11,2185,625656.4578871944,6742815.176874025,980.5968532741932
2023-06-03 21:00:11,2180,625656.2318524182,6742815.805165253,980.3451550893925
