Profiles,R Correlation
350-699,0.9933434475455594
700-1049,0.9956901868961063
1050-1399,0.9944155717058931
1400-1749,0.998858857985055
1750-2099,0.9954607081287353
2100-2449,0.9949223526272862
2450-2799,0.9968254285304307
